,time,open,high,low,close
12763,2020-09-15 09:40:00,99.3995309523,99.3995309523,99.3995309523,99.3995309523
12764,2020-09-15 09:31:00,98.9866768878,98.9866768878,98.9866768878,98.9866768878
12765,2020-09-14 16:01:00,99.0554858986,99.0554858986,99.0554858986,99.0554858986
12766,2020-09-14 16:00:00,99.104635192,99.104635192,98.4951839539,98.4951839539
12767,2020-09-14 15:59:00,98.8097394316,98.8097394316,98.8097394316,98.8097394316
12768,2020-09-14 15:52:00,98.7114408449,98.7311005622,98.52467353,98.7311005622
12769,2020-09-14 15:51:00,98.858888725,98.858888725,98.858888725,98.858888725
12770,2020-09-14 15:50:00,98.7704199969,98.7704199969,98.7704199969,98.7704199969
12771,2020-09-14 15:43:00,98.3133315684,98.3133315684,98.3133315684,98.3133315684
12772,2020-09-14 13:06:00,97.8955625746,97.8955625746,97.8955625746,97.8955625746
12773,2020-09-14 12:54:00,97.7972639878,97.7972639878,97.7972639878,97.7972639878
12774,2020-09-14 12:53:00,97.7087952597,97.7087952597,97.7087952597,97.7087952597
12775,2020-09-14 12:52:00,97.8955625746,97.8955625746,97.7087952597,97.7087952597
12776,2020-09-14 12:48:00,97.6793056837,97.6793056837,97.6793056837,97.6793056837
12777,2020-09-14 12:31:00,97.5023682275,97.5023682275,97.1878127498,97.1878127498
12778,2020-09-14 12:30:00,97.5515175208,97.5515175208,97.5515175208,97.5515175208
12779,2020-09-14 12:21:00,97.6301563903,97.6301563903,97.6301563903,97.6301563903
12780,2020-09-14 11:24:00,97.8120087758,97.8120087758,97.8120087758,97.8120087758
12781,2020-09-14 10:34:00,97.8709879279,97.8709879279,97.8709879279,97.8709879279
12782,2020-09-14 10:19:00,97.7481146944,97.7481146944,97.7481146944,97.7481146944
12783,2020-09-14 10:09:00,98.278927063,98.278927063,98.278927063,98.278927063
12784,2020-09-14 10:04:00,98.0774149601,98.0774149601,98.0774149601,98.0774149601
12785,2020-09-14 10:01:00,97.7186251184,97.7186251184,97.7186251184,97.7186251184
12786,2020-09-14 09:35:00,97.2173023258,97.2173023258,97.2173023258,97.2173023258
12787,2020-09-14 09:31:00,96.9715558588,96.9715558588,96.9715558588,96.9715558588
12788,2020-09-11 16:00:00,96.6864899572,96.6864899572,96.5783615117,96.5783615117
12789,2020-09-11 15:59:00,96.6078510878,96.6176809464,96.6078510878,96.6176809464
12790,2020-09-11 15:58:00,96.6176809464,96.6176809464,96.6176809464,96.6176809464
12791,2020-09-11 15:50:00,96.4997226423,96.4997226423,96.0475491431,96.0475491431
12792,2020-09-11 15:42:00,96.4161688435,96.4161688435,96.4161688435,96.4161688435
12793,2020-09-11 15:40:00,96.4702330663,96.4702330663,96.4604032076,96.4604032076
12794,2020-09-11 14:55:00,96.6029361584,96.6029361584,96.6029361584,96.6029361584
12795,2020-09-11 14:37:00,96.6127660171,96.6127660171,96.5808189764,96.5808189764
12796,2020-09-11 14:17:00,96.4898927836,96.4898927836,96.4898927836,96.4898927836
12797,2020-09-11 14:07:00,96.1261880125,96.1261880125,95.9492505563,95.9492505563
12798,2020-09-11 14:04:00,95.8706116869,95.8706116869,95.8706116869,95.8706116869
12799,2020-09-11 14:03:00,96.4210837729,96.4210837729,96.2441463167,96.2441463167
12800,2020-09-11 14:00:00,96.2834657514,96.2932956101,96.2441463167,96.2441463167
12801,2020-09-11 13:59:00,96.2982105394,96.2982105394,96.2687209634,96.2687209634
12802,2020-09-11 13:57:00,96.2441463167,96.2441463167,96.2441463167,96.2441463167
12803,2020-09-11 13:56:00,96.2441463167,96.3522747621,96.2441463167,96.2441463167
12804,2020-09-11 13:55:00,96.2441463167,96.2441463167,96.2441463167,96.2441463167
12805,2020-09-11 13:45:00,96.1851671646,96.1851671646,96.1851671646,96.1851671646
12806,2020-09-11 13:36:00,96.0180595671,96.0180595671,96.0180595671,96.0180595671
12807,2020-09-11 13:27:00,96.0573790018,96.1360178712,96.0573790018,96.1360178712
12808,2020-09-11 12:58:00,96.568531653,96.568531653,96.568531653,96.568531653
12809,2020-09-11 12:56:00,96.5292122183,96.5292122183,96.5292122183,96.5292122183
12810,2020-09-11 12:35:00,96.5881913704,96.7159795332,96.5881913704,96.7159795332
12811,2020-09-11 11:40:00,96.9799112387,96.9799112387,96.9799112387,96.9799112387
12812,2020-09-11 10:45:00,96.3227851861,96.5931062997,96.3227851861,96.5931062997
12813,2020-09-10 16:01:00,95.5167367745,95.5167367745,95.5167367745,95.5167367745
12814,2020-09-10 16:00:00,95.6346950786,95.8312922522,95.6346950786,95.8312922522
12815,2020-09-10 15:49:00,95.8411221109,95.8411221109,95.8411221109,95.8411221109
12816,2020-09-10 15:33:00,95.5658860679,95.5658860679,95.5658860679,95.5658860679
12817,2020-09-10 15:19:00,95.683844372,95.683844372,95.683844372,95.683844372
12818,2020-09-10 15:17:00,95.654354796,95.654354796,95.654354796,95.654354796
12819,2020-09-10 14:32:00,95.8902714043,95.8902714043,95.7624832414,95.7624832414
12820,2020-09-10 14:21:00,96.4997226423,96.509552501,95.9394206976,95.9394206976
12821,2020-09-10 14:08:00,96.0033147791,96.0033147791,96.0033147791,96.0033147791
12822,2020-09-10 12:45:00,96.3227851861,96.3227851861,96.1458477299,96.1458477299
12823,2020-09-10 12:12:00,96.4014240555,96.4014240555,96.4014240555,96.4014240555
12824,2020-09-10 11:54:00,96.8705049116,96.8705049116,96.8705049116,96.8705049116
12825,2020-09-10 11:49:00,96.4210837729,96.4702330663,96.4210837729,96.4505733489
12826,2020-09-10 11:43:00,96.509552501,96.509552501,96.509552501,96.509552501
12827,2020-09-10 11:29:00,96.3621046208,96.3621046208,96.3621046208,96.3621046208
12828,2020-09-10 11:28:00,96.7208944626,96.7208944626,96.7208944626,96.7208944626
12829,2020-09-10 11:25:00,96.278550822,96.278550822,96.278550822,96.278550822
12830,2020-09-10 11:01:00,96.4505733489,96.4505733489,96.4505733489,96.4505733489
12831,2020-09-10 10:59:00,96.6176809464,96.6176809464,96.5193823597,96.5193823597
12832,2020-09-10 10:36:00,96.4604032076,96.4604032076,96.4604032076,96.4604032076
12833,2020-09-10 10:33:00,96.3522747621,96.3522747621,96.1065282952,96.1065282952
12834,2020-09-10 10:29:00,96.7307243212,96.7307243212,96.7307243212,96.7307243212
12835,2020-09-10 10:28:00,96.7159795332,96.7159795332,96.7159795332,96.7159795332
12836,2020-09-10 10:27:00,96.5783615117,96.5832764411,96.5783615117,96.5832764411
12837,2020-09-10 10:26:00,96.204826882,96.204826882,96.204826882,96.204826882
12838,2020-09-10 10:05:00,96.5587017944,96.5587017944,96.5587017944,96.5587017944
12839,2020-09-10 10:00:00,96.8732572721,96.8732572721,96.8732572721,96.8732572721
12840,2020-09-10 09:58:00,96.9617260002,96.9617260002,96.9617260002,96.9617260002
12841,2020-09-10 09:56:00,96.5881913704,96.5881913704,96.5881913704,96.5881913704
12842,2020-09-10 09:31:00,96.6766600985,96.6766600985,96.6766600985,96.6766600985
12843,2020-09-09 16:00:00,96.4604032076,96.4604032076,96.4604032076,96.4604032076
12844,2020-09-09 15:53:00,96.4407434902,96.4407434902,96.4407434902,96.4407434902
12845,2020-09-09 15:51:00,96.3915941968,96.3915941968,96.3915941968,96.3915941968
12846,2020-09-09 15:50:00,96.3817643382,96.3817643382,96.3817643382,96.3817643382
12847,2020-09-09 15:47:00,96.7651288266,96.7651288266,96.7651288266,96.7651288266
12848,2020-09-09 15:20:00,96.509552501,96.5193823597,96.509552501,96.509552501
12849,2020-09-09 15:19:00,96.2834657514,96.2834657514,96.2834657514,96.2834657514
12850,2020-09-09 15:15:00,96.2834657514,96.2834657514,96.2834657514,96.2834657514
12851,2020-09-09 14:16:00,96.0947324648,96.0947324648,96.0947324648,96.0947324648
12852,2020-09-09 13:50:00,96.3571896915,96.3571896915,96.3571896915,96.3571896915
12853,2020-09-09 13:38:00,96.5292122183,96.5292122183,96.5292122183,96.5292122183
12854,2020-09-09 13:36:00,96.4112539142,96.6176809464,96.4112539142,96.6176809464
12855,2020-09-09 12:59:00,95.8411221109,95.8411221109,95.8411221109,95.8411221109
12856,2020-09-09 12:52:00,96.2244865993,96.2244865993,96.2244865993,96.2244865993
12857,2020-09-09 12:49:00,95.7133339481,95.7133339481,95.7133339481,95.7133339481
12858,2020-09-09 12:48:00,95.8067176055,95.8067176055,95.8067176055,95.8067176055
12859,2020-09-09 12:46:00,95.9639953443,95.9639953443,95.9639953443,95.9639953443
12860,2020-09-09 12:42:00,95.8411221109,95.8411221109,95.8411221109,95.8411221109
12861,2020-09-09 11:49:00,96.4604032076,96.4604032076,96.4604032076,96.4604032076
12862,2020-09-09 11:42:00,96.3031254687,96.3031254687,96.3031254687,96.3031254687
12863,2020-09-09 11:25:00,96.3080403981,96.3080403981,96.3080403981,96.3080403981
12864,2020-09-09 11:15:00,96.1556775886,96.1556775886,96.1556775886,96.1556775886
12865,2020-09-09 11:09:00,96.1360178712,96.1360178712,96.1360178712,96.1360178712
12866,2020-09-09 11:08:00,96.4997226423,96.4997226423,96.4997226423,96.4997226423
12867,2020-09-09 10:58:00,95.9345057683,95.9345057683,95.5953756439,95.5953756439
12868,2020-09-09 10:31:00,96.6717451692,96.6717451692,96.6717451692,96.6717451692
12869,2020-09-09 10:29:00,97.0698544456,97.0698544456,97.0698544456,97.0698544456
12870,2020-09-09 10:21:00,97.0305350109,97.0305350109,97.0305350109,97.0305350109
12871,2020-09-09 10:16:00,96.8339378374,96.8339378374,96.8339378374,96.8339378374
12872,2020-09-09 10:14:00,96.8339378374,96.8339378374,96.8339378374,96.8339378374
12873,2020-09-09 10:11:00,96.8241079787,96.8241079787,96.8241079787,96.8241079787
12874,2020-09-09 10:06:00,96.6373406638,96.6373406638,96.6373406638,96.6373406638
12875,2020-09-09 10:04:00,96.8339378374,96.9124784082,96.8339378374,96.9124784082
12876,2020-09-09 09:31:00,96.3621046208,96.3621046208,96.3621046208,96.3621046208
12877,2020-09-08 16:01:00,95.9492505563,95.9492505563,95.9492505563,95.9492505563
12878,2020-09-08 16:00:00,95.6494398666,95.6494398666,95.6494398666,95.6494398666
12879,2020-09-08 15:57:00,96.1311029419,96.1311029419,96.1311029419,96.1311029419
12880,2020-09-08 15:52:00,95.8509519695,96.1753373059,95.8509519695,96.1753373059
12881,2020-09-08 15:50:00,96.0770387191,96.3227851861,96.0770387191,96.2294015287
12882,2020-09-08 15:44:00,96.0868685778,96.0868685778,96.0868685778,96.0868685778
12883,2020-09-08 15:40:00,96.0868685778,96.0868685778,96.0868685778,96.0868685778
12884,2020-09-08 15:23:00,96.1212730832,96.3326150448,95.9099311216,95.9099311216
12885,2020-09-08 15:05:00,96.4014240555,96.4014240555,96.4014240555,96.4014240555
12886,2020-09-08 14:46:00,96.6570003811,96.6963198159,96.6570003811,96.6963198159
12887,2020-09-08 14:42:00,96.263806034,96.263806034,96.263806034,96.263806034
12888,2020-09-08 14:21:00,96.8044482613,96.8044482613,96.8044482613,96.8044482613
12889,2020-09-08 14:03:00,96.568531653,96.568531653,96.568531653,96.568531653
12890,2020-09-08 13:46:00,96.6078510878,96.6078510878,96.6078510878,96.6078510878
12891,2020-09-08 13:41:00,96.2982105394,96.2982105394,96.2982105394,96.2982105394
12892,2020-09-08 13:18:00,96.3424449034,96.3424449034,96.3424449034,96.3424449034
12893,2020-09-08 13:13:00,95.8624529042,95.8624529042,95.8624529042,95.8624529042
12894,2020-09-08 12:57:00,96.4407434902,96.4407434902,96.4407434902,96.4407434902
12895,2020-09-08 12:22:00,96.3227851861,96.3227851861,96.3227851861,96.3227851861
12896,2020-09-08 12:15:00,96.2982105394,96.2982105394,96.2982105394,96.2982105394
12897,2020-09-08 11:55:00,96.1360178712,96.1360178712,96.1360178712,96.1360178712
12898,2020-09-08 11:43:00,96.1261880125,96.1261880125,96.1261880125,96.1261880125
12899,2020-09-08 11:40:00,96.3080403981,96.3080403981,96.3080403981,96.3080403981
12900,2020-09-08 11:31:00,96.5980212291,96.5980212291,96.5980212291,96.5980212291
12901,2020-09-08 11:14:00,96.4014240555,96.4014240555,96.4014240555,96.4014240555
12902,2020-09-08 11:09:00,96.0229744964,96.0229744964,96.0229744964,96.0229744964
12903,2020-09-08 10:43:00,96.7159795332,96.7159795332,96.7159795332,96.7159795332
12904,2020-09-08 10:39:00,96.8535975547,96.9125767068,96.8535975547,96.9125767068
12905,2020-09-08 10:13:00,97.1091738803,97.1091738803,96.3915941968,96.3915941968
12906,2020-09-08 10:11:00,97.5121980861,97.5121980861,97.5121980861,97.5121980861
12907,2020-09-08 10:01:00,97.9545417266,98.0331805961,97.9545417266,98.0331805961
12908,2020-09-08 09:50:00,97.8857327159,97.8857327159,97.8857327159,97.8857327159
12909,2020-09-08 09:49:00,97.4630487927,97.4630487927,97.4630487927,97.4630487927
12910,2020-09-08 09:47:00,98.8097394316,98.8097394316,97.9545417266,97.9545417266
12911,2020-09-08 09:46:00,98.8097394316,98.8097394316,98.8097394316,98.8097394316
12912,2020-09-04 16:00:00,98.2396076283,98.2396076283,98.2396076283,98.2396076283
12913,2020-09-04 15:59:00,98.2396076283,98.278927063,98.2396076283,98.278927063
12914,2020-09-04 15:38:00,98.3477360738,98.3477360738,98.3477360738,98.3477360738
12915,2020-09-04 15:37:00,98.278927063,98.278927063,98.278927063,98.278927063
12916,2020-09-04 14:51:00,98.1609687589,98.1707986176,98.1413090415,98.1707986176
12917,2020-09-04 14:44:00,98.1314791829,98.1314791829,98.1314791829,98.1314791829
12918,2020-09-04 14:43:00,98.1216493242,98.1216493242,98.1216493242,98.1216493242
12919,2020-09-04 14:36:00,97.8464132812,97.8464132812,97.8464132812,97.8464132812
12920,2020-09-04 14:05:00,97.0845992336,97.0845992336,97.0845992336,97.0845992336
12921,2020-09-04 13:46:00,97.0207051522,97.0207051522,97.0207051522,97.0207051522
12922,2020-09-04 13:37:00,96.9912155762,96.9912155762,96.9912155762,96.9912155762
12923,2020-09-04 13:26:00,97.3576727077,97.3576727077,97.3576727077,97.3576727077
12924,2020-09-04 13:12:00,97.3106859832,97.3106859832,97.3106859832,97.3106859832
12925,2020-09-04 13:02:00,97.2811964072,97.2811964072,97.2811964072,97.2811964072
12926,2020-09-04 12:58:00,97.1976426084,97.1976426084,97.1976426084,97.1976426084
12927,2020-09-04 12:47:00,96.8339378374,96.8339378374,96.8339378374,96.8339378374
12928,2020-09-04 12:14:00,97.1779828911,97.1779828911,97.1779828911,97.1779828911
12929,2020-09-04 11:33:00,97.0845992336,97.0845992336,97.0845992336,97.0845992336
12930,2020-09-04 10:40:00,97.3057710539,97.3057710539,97.3057710539,97.3057710539
12931,2020-09-04 10:39:00,96.4505733489,96.4505733489,96.4505733489,96.4505733489
12932,2020-09-04 10:37:00,97.5662623089,97.5662623089,96.9224065655,96.9224065655
12933,2020-09-04 10:32:00,97.3446972943,97.3446972943,97.3446972943,97.3446972943
12934,2020-09-04 10:19:00,97.6055817436,97.6055817436,97.6055817436,97.6055817436
12935,2020-09-04 10:14:00,98.1314791829,98.1314791829,98.1314791829,98.1314791829
12936,2020-09-04 09:46:00,98.0921597481,98.0921597481,98.0921597481,98.0921597481
12937,2020-09-04 09:40:00,98.0921597481,98.0921597481,98.0921597481,98.0921597481
12938,2020-09-04 09:31:00,98.1118194655,98.1118194655,98.1118194655,98.1118194655
12939,2020-09-03 16:00:00,96.9518961415,96.9518961415,96.5881913704,96.5881913704
12940,2020-09-03 15:58:00,96.4309136316,96.7110646039,96.4309136316,96.7110646039
12941,2020-09-03 15:50:00,96.4014240555,96.4014240555,96.4014240555,96.4014240555
12942,2020-09-03 15:46:00,97.0010454349,97.0010454349,97.0010454349,97.0010454349
12943,2020-09-03 15:36:00,96.6668302398,96.6668302398,96.6668302398,96.6668302398
12944,2020-09-03 15:34:00,96.3719344795,96.4112539142,96.3522747621,96.4112539142
12945,2020-09-03 15:23:00,96.4019155485,96.4019155485,96.4019155485,96.4019155485
12946,2020-09-03 15:01:00,97.1878127498,97.1878127498,97.1878127498,97.1878127498
12947,2020-09-03 14:36:00,97.3087200115,97.3087200115,97.3087200115,97.3087200115
12948,2020-09-03 14:11:00,97.944711868,97.944711868,97.944711868,97.944711868
12949,2020-09-03 13:54:00,97.4925383688,97.4925383688,97.4925383688,97.4925383688
12950,2020-09-03 13:01:00,98.0742694053,98.0742694053,98.0742694053,98.0742694053
12951,2020-09-03 12:10:00,97.9791163733,98.0184358081,97.9791163733,98.0184358081
12952,2020-09-03 11:46:00,98.0233507374,98.0233507374,98.0233507374,98.0233507374
12953,2020-09-03 11:26:00,98.3968853672,98.3968853672,98.3968853672,98.3968853672
12954,2020-09-03 11:15:00,98.3575659324,98.3575659324,98.2396076283,98.2396076283
12955,2020-09-03 11:13:00,98.2592673457,98.2592673457,98.2592673457,98.2592673457
12956,2020-09-03 11:11:00,98.858888725,98.858888725,98.4067152258,98.4067152258
12957,2020-09-03 10:58:00,99.0596144392,99.0596144392,99.0596144392,99.0596144392
12958,2020-09-03 10:20:00,99.3454667296,99.3454667296,99.3454667296,99.3454667296
12959,2020-09-03 09:57:00,100.107182479,100.107182479,100.107182479,100.107182479
12960,2020-09-03 09:51:00,100.117110636,100.117110636,100.117110636,100.117110636
12961,2020-09-03 09:49:00,100.097450918,100.166259929,100.097450918,100.166259929
12962,2020-09-03 09:48:00,99.1734442027,99.1734442027,99.1734442027,99.1734442027
12963,2020-09-02 16:00:00,100.166259929,100.166259929,100.126940494,100.126940494
12964,2020-09-02 15:50:00,100.215409223,100.215409223,100.215409223,100.215409223
12965,2020-09-02 15:45:00,100.156430071,100.264558516,100.156430071,100.264558516
12966,2020-09-02 15:36:00,99.6157878432,99.6157878432,99.6157878432,99.6157878432
12967,2020-09-02 14:53:00,99.0063366052,99.0063366052,99.0063366052,99.0063366052
12968,2020-09-02 14:24:00,99.0935274517,99.0935274517,99.0935274517,99.0935274517
12969,2020-09-02 14:04:00,98.7704199969,98.9178678771,98.7704199969,98.9178678771
12970,2020-09-02 13:43:00,98.9768470292,99.0259963226,98.9768470292,99.0259963226
12971,2020-09-02 13:33:00,99.1390396974,99.1390396974,99.1390396974,99.1390396974
12972,2020-09-02 13:28:00,99.2619129308,99.2619129308,99.2619129308,99.2619129308
12973,2020-09-02 13:12:00,99.1537844854,99.1537844854,99.1537844854,99.1537844854
12974,2020-09-02 13:11:00,99.4044458817,99.4044458817,99.4044458817,99.4044458817
12975,2020-09-02 13:07:00,99.3208920829,99.3208920829,99.3012323655,99.3012323655
12976,2020-09-02 13:04:00,99.4879996804,99.4879996804,99.4879996804,99.4879996804
12977,2020-09-02 13:01:00,99.5469788325,99.5469788325,99.5469788325,99.5469788325
12978,2020-09-02 12:52:00,99.6256177019,99.6256177019,99.6256177019,99.6256177019
12979,2020-09-02 12:31:00,99.3307219416,99.3307219416,99.3307219416,99.3307219416
12980,2020-09-02 12:21:00,99.6747669953,99.6747669953,99.1242949093,99.1242949093
12981,2020-09-02 11:57:00,100.313707809,100.313707809,100.313707809,100.313707809
12982,2020-09-02 11:54:00,100.343197385,100.372686961,100.343197385,100.372686961
12983,2020-09-02 11:50:00,99.9106836036,99.9106836036,99.9106836036,99.9106836036
12984,2020-09-02 11:05:00,99.9205134623,99.9205134623,99.9205134623,99.9205134623
12985,2020-09-02 11:01:00,99.9057686742,99.9057686742,99.9057686742,99.9057686742
12986,2020-09-02 10:57:00,99.7730655821,99.7730655821,99.7730655821,99.7730655821
12987,2020-09-02 10:44:00,100.210494293,100.210494293,100.210494293,100.210494293
12988,2020-09-02 10:32:00,99.1521134094,99.1521134094,99.1521134094,99.1521134094
12989,2020-09-02 10:31:00,99.6157878432,100.117110636,99.6157878432,100.117110636
12990,2020-09-02 10:13:00,100.431961009,100.431961009,100.431961009,100.431961009
12991,2020-09-02 09:48:00,97.3254307713,97.3254307713,97.3254307713,97.3254307713
12992,2020-09-02 09:31:00,98.799909573,98.799909573,97.3156009126,97.3156009126
12993,2020-09-01 16:01:00,99.0849754746,99.0849754746,99.0849754746,99.0849754746
12994,2020-09-01 16:00:00,99.1832740614,99.1832740614,99.1832740614,99.1832740614
12995,2020-09-01 15:59:00,98.2101180523,98.2101180523,98.2101180523,98.2101180523
12996,2020-09-01 15:58:00,98.5148436713,98.5148436713,98.5148436713,98.5148436713
12997,2020-09-01 15:57:00,98.8982081597,98.8982081597,98.8982081597,98.8982081597
12998,2020-09-01 15:50:00,98.0626701721,98.0626701721,98.0626701721,98.0626701721
12999,2020-09-01 15:03:00,97.8562431399,97.8562431399,97.8562431399,97.8562431399
13000,2020-09-01 14:34:00,98.0184358081,98.0184358081,98.0184358081,98.0184358081
13001,2020-09-01 14:09:00,98.1019896068,98.1019896068,98.1019896068,98.1019896068
13002,2020-09-01 13:57:00,98.52467353,98.52467353,98.52467353,98.52467353
13003,2020-09-01 13:46:00,98.4362048019,98.4362048019,98.4362048019,98.4362048019
13004,2020-09-01 13:43:00,98.3673957911,98.3673957911,98.3673957911,98.3673957911
13005,2020-09-01 13:40:00,97.8955625746,97.8955625746,97.8955625746,97.8955625746
13006,2020-09-01 13:31:00,97.9545417266,97.9545417266,97.9545417266,97.9545417266
13007,2020-09-01 13:30:00,98.0626701721,98.0626701721,98.0626701721,98.0626701721
