Date,Avg. Open,Avg. High,Avg. Low,Avg. Close,Negativity,Positivity
2021-03-25,74,74,74,74,0.32,0.516
2021-03-26,74,74,74,74,0.671,0
2021-03-30,74,74,74,74,0,0.21
2021-04-01,76,76,76,76,0,0.454
2021-04-05,75,75,75,75,0,0.222
2021-04-07,73,73,73,73,0.289,0
2021-04-08,73,73,73,73,0.219,0
2021-04-12,74,74,74,74,0,0.328
2021-04-15,74,74,74,74,0.379,0.826
2021-04-16,72,72,72,72,0,0
2021-04-20,77,77,77,77,0,0
2021-04-21,77,77,77,77,0,0
2021-04-23,79,79,79,79,0,0.538
2021-04-26,77,77,77,77,0,0
2021-04-27,76,76,76,76,0.435,0.609
2021-04-28,76,76,76,76,0,0.259
2021-05-03,72,72,72,72,0,0.153
2021-05-04,72,72,72,72,0,0
2021-05-10,75,75,75,75,0.643,0
2021-05-14,79,79,79,79,0,0.365
2021-05-20,81,81,81,81,0.864,0.91
2021-05-24,81,81,81,81,0.24,0
2021-05-26,80,80,80,80,0,0
2021-05-27,78,78,78,78,0,0
2021-05-28,79,79,79,79,0,0.679
2021-06-03,78,78,78,78,0,0.369
2021-06-07,79,79,79,79,0.402,0.193
2021-06-09,77,77,77,77,0.211,0.217
2021-06-11,79,79,79,79,0.427,0
2021-06-14,79,79,79,79,0,0
2021-06-15,80,80,80,80,0,0.397
2021-06-17,80,80,80,80,0.125,0.161
2021-06-18,80,80,80,80,0.427,0.146
2021-06-22,80,80,80,80,0.134,0.315
2021-06-25,80,80,80,80,0.897,0
2021-07-01,82,82,82,82,0.162,0
2021-07-02,84,84,84,84,0.116,0.257
2021-07-06,81,81,81,81,0.21,0.781
2021-07-12,83,83,83,83,0.275,0.305
2021-07-15,81,81,81,81,0.108,0.306
2021-07-26,82,82,82,82,0.354,0
2021-07-28,78,78,78,78,0,0.486
2021-07-30,81,81,81,81,0.47,0.176
2021-08-02,79,79,79,79,0.349,0.73
2021-08-05,79,79,79,79,0,0
2021-08-06,80,80,80,80,0.645,0.346
2021-08-10,78,78,78,78,0.1106,0.87
2021-08-12,81,81,81,81,0.167,0.278
2021-08-13,81,81,81,81,0.358,0.13
2021-08-17,83,83,83,83,0,0.514
2021-08-19,83,83,83,83,0.489,0.139
2021-08-23,81,81,81,81,0.231,0
2021-08-24,81,81,81,81,0,0
2021-08-25,83,83,83,83,0.16,0.244
2021-08-26,83,83,83,83,0,0
2021-08-27,82,82,82,82,0.355,0.639
2021-08-30,82,82,82,82,0.303,0.265
2021-08-31,81,81,81,81,0.308,0.472
2021-09-01,81,81,81,81,0.164,0.73
2021-09-07,83,83,83,83,0,0.452
2021-09-08,83,83,83,83,0,0.184
2021-09-09,80,80,80,80,0.92,0.162
2021-09-10,81,81,81,81,0.689,0.221
2021-09-13,79,79,79,79,0.572,0.174
2021-09-14,80,80,80,80,0.465,0.278
2021-09-15,80,80,80,80,0.146,0.739
2021-09-16,80,80,80,80,0.12,0
2021-09-17,78,78,78,78,0,0
2021-09-22,79,79,79,79,0,0.312
2021-09-23,79,79,79,79,0,0
2021-09-24,81,81,80,81,0.392,0.281
2021-09-28,78,78,78,78,0.371,0.424
2021-09-29,80,80,80,80,0,0
2021-09-30,80,80,80,80,0.227,0
2021-10-01,80,80,80,80,0.21,0
2021-10-04,81,81,81,81,0.1037,0.1388
2021-10-05,82,82,82,82,0.394,0.264
2021-10-07,82,82,82,82,0,0.348
2021-10-11,82,82,82,82,0.684,0
2021-10-12,81,81,81,81,0.287,0
2021-10-15,82,82,82,82,0.116,0.13
2021-10-19,86,87,86,86,0,0
2021-10-20,83,83,83,83,0,0.445
2021-10-21,82,82,82,82,0,0.439
2021-10-22,83,83,83,83,0,0
2021-10-25,83,83,83,83,0.295,0.216
2021-10-28,84,84,84,84,0,0.405
2021-10-29,83,83,83,83,0,0.237
2021-11-01,81,81,81,81,0.1225,0.52
2021-11-02,81,81,81,81,0.178,0
2021-11-05,81,81,81,81,0,0.416
2021-11-08,79,79,79,79,0,0
2021-11-10,84,84,84,84,0.212,0
2021-11-11,83,83,83,83,0,0.443
2021-11-16,81,81,81,81,0.606,0.408
2021-11-18,81,81,81,81,0.145,0.185
2021-11-22,83,83,83,83,0.135,0.346
2021-11-26,77,77,77,77,0,0.179
2021-12-02,79,79,79,79,0.646,0.102
2021-12-03,80,80,80,80,0,0
2021-12-07,77,77,77,77,0.25,0
2021-12-08,79,79,79,79,0,0
2021-12-09,80,80,80,80,0,0.693
2021-12-13,80,80,80,80,0.33,0.105
2021-12-20,84,84,83,84,0.19,0
2021-12-23,83,83,83,83,0,0.173
2021-12-27,86,86,86,86,0,0
2021-12-29,87,87,87,87,0.535,0
2022-01-03,85,85,85,85,0,0
2022-01-04,84,84,84,84,0,0
2022-01-07,87,87,87,87,0,0
2022-01-11,86,86,86,86,0,0.254
2022-01-13,86,86,86,86,0.183,0.175
2022-01-14,85,85,85,85,0,0.249
2022-01-18,85,85,85,85,0.194,0
2022-01-21,85,85,85,85,0.56,0
2022-01-24,80,80,80,80,0,0
2022-01-26,86,86,86,86,0.74,0.529
2022-01-27,88,88,88,88,0,0.386
2022-01-28,87,87,87,87,0.176,0.187
2022-02-03,87,87,87,87,0,0.254
2022-02-04,86,86,86,86,0.503,0
2022-02-07,83,83,83,83,0.489,0.197
2022-02-08,81,81,81,81,0,0
2022-02-09,83,83,83,83,0,0.203
2022-02-11,83,83,83,83,0,0
2022-02-16,85,85,85,85,0.107,0.309
2022-02-18,84,84,84,84,0.98,0.28
2022-02-22,82,82,82,82,0,0
2022-02-24,79,79,79,79,0.18,0.13
2022-02-25,84,84,84,84,0,0.61
2022-02-28,84,84,84,84,0.13,0.23
2022-03-01,84,85,84,84,0.25,0.23
2022-03-02,84,84,84,84,0.18,0.49
2022-03-04,84,84,84,84,0,0
2022-03-08,86,86,86,86,0,0.61
2022-03-09,87,87,87,87,0.2,0.23
2022-03-15,89,89,89,89,0,0
2022-03-17,91,91,91,91,0.28,0.6
2022-03-18,90,90,90,90,0.44,0.21
2022-03-21,91,91,91,91,0.14,0.54
