Date,Open,High,Low,Close,Negativity,Positivity
06/02/2020,59.9,59.9,59.9,59.9,12.6,11.6
06/03/2020,60.1,60.1,60.1,60.1,14.1,13.4
06/04/2020,60.9,60.9,60.8,60.9,19.0,13.0
06/05/2020,63.6,63.7,63.6,63.6,13.8,11.6
06/08/2020,61.0,61.1,61.0,61.0,10.6,9.0
06/09/2020,61.5,61.6,61.5,61.5,14.0,11.2
06/10/2020,62.3,62.4,62.3,62.3,13.5,12.8
06/11/2020,59.7,59.7,59.7,59.7,14.3,16.1
06/12/2020,59.2,59.2,59.2,59.2,14.6,13.4
06/15/2020,57.1,57.1,57.1,57.1,11.7,9.3
06/16/2020,57.7,57.7,57.7,57.7,13.0,11.4
06/17/2020,59.4,59.5,59.4,59.4,14.6,17.6
06/18/2020,54.0,54.0,54.0,54.0,13.9,16.4
06/19/2020,57.3,57.4,57.3,57.3,14.0,14.0
06/22/2020,57.1,57.2,57.1,57.1,8.3,10.8
06/23/2020,59.7,59.7,59.7,59.7,15.6,11.6
06/24/2020,62.3,62.3,62.2,62.3,14.6,10.3
06/25/2020,58.1,58.1,58.1,58.1,12.8,12.9
06/26/2020,58.5,58.5,58.5,58.5,13.5,14.4
06/29/2020,59.0,59.0,59.0,59.0,13.1,12.4
06/30/2020,59.8,59.8,59.7,59.8,10.9,14.3
07/01/2020,69.5,69.5,69.5,69.5,13.3,15.4
07/02/2020,71.4,71.4,71.3,71.3,12.8,16.3
07/06/2020,71.2,71.2,71.2,71.2,8.0,10.0
07/07/2020,71.6,71.6,71.6,71.6,11.4,13.7
07/08/2020,72.0,72.1,72.0,72.0,12.5,12.2
07/09/2020,69.7,69.7,69.6,69.6,11.1,12.1
07/10/2020,70.1,70.1,70.1,70.1,11.1,16.4
07/13/2020,73.3,73.4,73.3,73.3,11.2,8.5
07/14/2020,71.0,71.1,71.0,71.0,10.6,12.5
07/15/2020,72.5,72.5,72.5,72.5,9.7,10.7
07/16/2020,73.7,73.7,73.6,73.7,12.6,12.4
07/17/2020,72.0,72.0,71.9,72.0,13.9,12.9
07/20/2020,72.0,72.0,72.0,72.0,8.7,7.5
07/21/2020,73.6,73.7,73.6,73.6,14.3,13.9
07/22/2020,70.9,71.0,70.9,70.9,15.7,12.3
07/23/2020,70.5,70.5,70.4,70.5,12.9,16.6
07/24/2020,64.8,64.9,64.8,64.8,11.2,14.2
07/27/2020,66.0,66.1,66.0,66.0,8.8,9.2
07/28/2020,65.7,65.7,65.7,65.7,13.7,13.1
07/29/2020,64.7,64.8,64.7,64.7,10.7,11.7
07/30/2020,66.2,66.2,66.2,66.2,14.6,11.5
07/31/2020,45.6,45.6,45.6,45.6,12.0,14.6
08/03/2020,46.0,46.1,46.0,46.0,8.6,9.9
08/04/2020,46.5,46.5,46.5,46.5,10.9,11.4
08/05/2020,46.8,46.8,46.8,46.8,11.5,12.4
08/06/2020,46.5,46.6,46.5,46.5,13.1,11.5
08/07/2020,46.2,46.2,46.2,46.2,9.2,14.8
08/10/2020,46.9,46.9,46.9,46.9,11.0,9.1
08/11/2020,47.1,47.1,47.1,47.1,9.3,11.5
08/12/2020,46.9,46.9,46.9,46.9,10.9,8.6
08/13/2020,46.9,47.0,46.9,46.9,11.6,10.7
08/14/2020,47.0,47.0,47.0,47.0,12.6,12.4
08/17/2020,47.2,47.2,47.2,47.2,8.6,8.6
08/18/2020,47.0,47.0,47.0,47.0,12.1,13.5
08/19/2020,47.0,47.0,47.0,47.0,10.5,13.3
08/20/2020,47.5,47.6,47.5,47.5,14.9,14.4
08/21/2020,47.1,47.1,47.1,47.1,12.3,16.4
08/24/2020,47.2,47.2,47.2,47.2,8.5,10.0
08/25/2020,47.4,47.4,47.4,47.4,9.4,14.1
08/26/2020,47.6,47.6,47.5,47.6,11.1,13.1
08/27/2020,47.6,47.6,47.5,47.6,10.7,13.3
08/28/2020,48.2,48.2,48.2,48.2,11.2,16.4
08/31/2020,83.8,83.8,83.7,83.8,9.6,8.5
09/01/2020,86.2,86.2,86.1,86.2,13.3,10.9
09/02/2020,87.0,87.2,87.0,87.0,12.8,12.9
09/03/2020,81.1,81.1,81.0,81.0,12.2,11.4
09/04/2020,81.8,81.9,81.7,81.8,13.5,11.2
09/08/2020,75.9,76.0,75.9,75.9,12.0,10.5
09/09/2020,79.0,79.0,78.9,79.0,10.4,12.5
09/10/2020,78.3,78.3,78.2,78.3,15.7,11.4
09/11/2020,77.9,78.0,77.9,77.9,13.2,14.3
09/14/2020,78.0,78.0,78.0,78.0,11.0,10.9
09/15/2020,80.7,80.7,80.6,80.7,13.5,13.2
09/16/2020,77.3,77.3,77.2,77.3,12.0,11.4
09/17/2020,78.2,78.3,78.2,78.2,12.7,14.1
09/18/2020,78.3,78.4,78.3,78.3,12.3,16.1
09/21/2020,75.3,75.4,75.3,75.3,9.4,14.6
09/22/2020,77.9,78.0,77.9,77.9,12.3,14.0
09/23/2020,78.1,78.1,78.0,78.1,11.9,14.1
